Player,Age,Position,Nation,Team,Value
Ondrej Duda,29,Central Midfield,Slovakia,Hellas Verona,4.28
Dani Silva,24,Central Midfield,Portugal,Hellas Verona,2.14
Darko Lazović,33,Left Midfield,Serbia,Hellas Verona,1.6
Tomas Suslov,22,Attacking Midfield,Slovakia,Hellas Verona,7.49
Stefan Mitrović,21,Left Winger,Serbia,Hellas Verona,1.93
Tijjani Noslin,24,Right Winger,Netherlands,Hellas Verona,10.7
Elayis Tavsan,23,Right Winger,Netherlands,Hellas Verona,1.07
Karol Świderski,27,Centre-Forward,Poland,Hellas Verona,5.35
Federico Bonazzoli,27,Centre-Forward,Italy,Hellas Verona,2.67
Thomas Henry,29,Centre-Forward,France,Hellas Verona,2.14
Juan Manuel Cruz,24,Centre-Forward,Argentina,Hellas Verona,0.48
Guillermo Ochoa,38,Goalkeeper,Mexico,US Salernitana 1919,1.07
Benoît Costil,36,Goalkeeper,France,US Salernitana 1919,0.64
Vincenzo Fiorillo,34,Goalkeeper,Italy,US Salernitana 1919,0.16
Pasquale Allocca,19,Goalkeeper,Italy,US Salernitana 1919,0.11
Lorenzo Pirola,22,Centre-Back,Italy,US Salernitana 1919,5.88
Marco Pellegrino,21,Centre-Back,Argentina,US Salernitana 1919,3.75
Norbert Gyömbér,31,Centre-Back,Slovakia,US Salernitana 1919,1.39
Konstantinos Manolas,33,Centre-Back,Greece,US Salernitana 1919,1.07
Triantafyllos Pasalidis,27,Centre-Back,Greece,US Salernitana 1919,0.54
Jérôme Boateng,35,Centre-Back,Germany,US Salernitana 1919,0.43
Federico Fazio,37,Centre-Back,Argentina,US Salernitana 1919,0.43
Domagoj Bradarić,24,Left-Back,Croatia,US Salernitana 1919,5.35
Alessandro Zanoli,23,Right-Back,Italy,US Salernitana 1919,5.35
Junior Sambia,27,Right-Back,France,US Salernitana 1919,2.14
Niccolò Pierozzi,22,Right-Back,Italy,US Salernitana 1919,1.93
Mateusz Legowski,21,Defensive Midfield,Poland,US Salernitana 1919,3.21
Lassana Coulibaly,28,Central Midfield,Mali,US Salernitana 1919,3.75
Giulio Maggiore,26,Central Midfield,Italy,US Salernitana 1919,3.75
Toma Bašić,27,Central Midfield,Croatia,US Salernitana 1919,3.0
Antonio Candreva,37,Right Midfield,Italy,US Salernitana 1919,1.07
Agustín Martegani,24,Attacking Midfield,Argentina,US Salernitana 1919,1.93
Grigoris Kastanos,26,Attacking Midfield,Cyprus,US Salernitana 1919,1.93
Iron Gomis,24,Attacking Midfield,France,US Salernitana 1919,0.96
Andres Sfait,19,Left Winger,Romania,US Salernitana 1919,0.54
Loum Tchaouna,20,Right Winger,France,US Salernitana 1919,8.56
Emanuel Vignato,23,Right Winger,Italy,US Salernitana 1919,1.18
Boulaye Dia,27,Centre-Forward,Senegal,US Salernitana 1919,10.7
Chukwubuikem Ikwuemesi,22,Centre-Forward,Nigeria,US Salernitana 1919,1.93
Shon Weissman,28,Centre-Forward,Israel,US Salernitana 1919,1.82
Simy,32,Centre-Forward,Nigeria,US Salernitana 1919,0.54
Mikael,25,Centre-Forward,Brazil,US Salernitana 1919,0.32
Elia Caprile,22,Goalkeeper,Italy,FC Empoli,6.42
Samuele Perisan,26,Goalkeeper,Italy,FC Empoli,0.64
Etrit Berisha,35,Goalkeeper,Albania,FC Empoli,0.54
Sebastiano Luperto,27,Centre-Back,Italy,FC Empoli,3.75
Ardian Ismajli,27,Centre-Back,Albania,FC Empoli,3.21
Sebastian Walukiewicz,24,Centre-Back,Poland,FC Empoli,2.67
Saba Goglichidze,20,Centre-Back,Georgia,FC Empoli,0.32
Lorenzo Tonelli,34,Centre-Back,Italy,FC Empoli,0.21
Giuseppe Pezzella,26,Left-Back,Italy,FC Empoli,2.35
Liberato Cacace,23,Left-Back,New Zealand,FC Empoli,2.14
Tyronne Ebuehi,28,Right-Back,Nigeria,FC Empoli,2.14
Bartosz Bereszyński,31,Right-Back,Poland,FC Empoli,1.39
Răzvan Marin,28,Defensive Midfield,Romania,FC Empoli,2.89
Alberto Grassi,29,Defensive Midfield,Italy,FC Empoli,1.93
Jacopo Fazzini,21,Central Midfield,Italy,FC Empoli,6.42
Youssef Maleh,25,Central Midfield,Morocco,FC Empoli,4.82
Szymon Żurkowski,26,Central Midfield,Poland,FC Empoli,2.67
Simone Bastoni,27,Central Midfield,Italy,FC Empoli,1.6
Luca Belardinelli,23,Central Midfield,Italy,FC Empoli,1.07
Viktor Kovalenko,28,Attacking Midfield,Ukraine,FC Empoli,1.6
Emmanuel Gyasi,30,Left Winger,Ghana,FC Empoli,1.93
Matteo Cancellieri,22,Right Winger,Italy,FC Empoli,5.14
Nicolò Cambiaghi,23,Second Striker,Italy,FC Empoli,7.49
M'Baye Niang,29,Centre-Forward,Senegal,FC Empoli,2.67
Stiven Shpendi,21,Centre-Forward,Albania,FC Empoli,2.14
Alberto Cerri,28,Centre-Forward,Italy,FC Empoli,1.82
Francesco Caputo,36,Centre-Forward,Italy,FC Empoli,1.07
Mattia Destro,33,Centre-Forward,Italy,FC Empoli,0.54
Manuel Neuer,38,Goalkeeper,Germany,Bayern Munich,4.28
Daniel Peretz,23,Goalkeeper,Israel,Bayern Munich,3.21
Sven Ulreich,35,Goalkeeper,Germany,Bayern Munich,0.75
Tom Hülsmann,20,Goalkeeper,Germany,Bayern Munich,0.27
Matthijs de Ligt,24,Centre-Back,Netherlands,Bayern Munich,69.55
Dayot Upamecano,25,Centre-Back,France,Bayern Munich,48.15
Min-jae Kim,27,Centre-Back,South Korea,Bayern Munich,48.15
Eric Dier,30,Centre-Back,England,Bayern Munich,12.84
Tarek Buchmann,19,Centre-Back,Germany,Bayern Munich,0.54
Alphonso Davies,23,Left-Back,Canada,Bayern Munich,53.5
Raphaël Guerreiro,30,Left-Back,Portugal,Bayern Munich,12.84
Joshua Kimmich,29,Right-Back,Germany,Bayern Munich,53.5
Noussair Mazraoui,26,Right-Back,Morocco,Bayern Munich,32.1
Sacha Boey,23,Right-Back,France,Bayern Munich,19.26
Bouna Sarr,32,Right-Back,Senegal,Bayern Munich,1.6
Aleksandar Pavlovic,20,Defensive Midfield,Germany,Bayern Munich,32.1
Leon Goretzka,29,Central Midfield,Germany,Bayern Munich,32.1
Konrad Laimer,27,Central Midfield,Austria,Bayern Munich,32.1
Jamal Musiala,21,Attacking Midfield,Germany,Bayern Munich,128.4
Lovro Zvonarek,19,Attacking Midfield,Croatia,Bayern Munich,3.21
Kingsley Coman,28,Left Winger,France,Bayern Munich,53.5
Mathys Tel,19,Left Winger,France,Bayern Munich,42.8
Bryan Zaragoza,22,Left Winger,Spain,Bayern Munich,12.84
Leroy Sané,28,Right Winger,Germany,Bayern Munich,74.9
Serge Gnabry,28,Right Winger,Germany,Bayern Munich,42.8
Thomas Müller,34,Second Striker,Germany,Bayern Munich,8.56
Harry Kane,30,Centre-Forward,England,Bayern Munich,107.0
Eric-Maxim Choupo-Moting,35,Centre-Forward,Cameroon,Bayern Munich,2.67
Matej Kovar,24,Goalkeeper,Czech Republic,Bayer Leverkusen,7.49
Lukas Hradecky,34,Goalkeeper,Finland,Bayer Leverkusen,2.67
Niklas Lomb,30,Goalkeeper,Germany,Bayer Leverkusen,0.27
Edmond Tapsoba,25,Centre-Back,Burkina Faso,Bayer Leverkusen,48.15
Piero Hincapié,22,Centre-Back,Ecuador,Bayer Leverkusen,42.8
Odilon Kossounou,23,Centre-Back,Cote d'Ivoire,Bayer Leverkusen,37.45
Jonathan Tah,28,Centre-Back,Germany,Bayer Leverkusen,32.1
Josip Stanisic,24,Centre-Back,Croatia,Bayer Leverkusen,29.96
Madi Monamay,18,Centre-Back,Belgium,Bayer Leverkusen,0.0
Alejandro Grimaldo,28,Left-Back,Spain,Bayer Leverkusen,48.15
Arthur,21,Right-Back,Brazil,Bayer Leverkusen,5.35
Timothy Fosu-Mensah,26,Right-Back,Netherlands,Bayer Leverkusen,0.86
Granit Xhaka,31,Defensive Midfield,Switzerland,Bayer Leverkusen,21.4
Robert Andrich,29,Defensive Midfield,Germany,Bayer Leverkusen,18.19
Noah Mbamba,19,Defensive Midfield,Belgium,Bayer Leverkusen,2.67
Exequiel Palacios,25,Central Midfield,Argentina,Bayer Leverkusen,48.15
Gustavo Puerta,20,Central Midfield,Colombia,Bayer Leverkusen,3.21
Jeremie Frimpong,23,Right Midfield,Netherlands,Bayer Leverkusen,53.5
Florian Wirtz,21,Attacking Midfield,Germany,Bayer Leverkusen,139.1
Jonas Hofmann,31,Attacking Midfield,Germany,Bayer Leverkusen,10.7
Ayman Aourir,19,Attacking Midfield,Morocco,Bayer Leverkusen,0.32
Amine Adli,24,Left Winger,Morocco,Bayer Leverkusen,32.1
Nathan Tella,24,Right Winger,Nigeria,Bayer Leverkusen,24.61
Adam Hlozek,21,Second Striker,Czech Republic,Bayer Leverkusen,12.84
Victor Boniface,23,Centre-Forward,Nigeria,Bayer Leverkusen,42.8
Patrik Schick,28,Centre-Forward,Czech Republic,Bayer Leverkusen,23.54
Borja Iglesias,31,Centre-Forward,Spain,Bayer Leverkusen,5.35
Péter Gulácsi,34,Goalkeeper,Hungary,RB Leipzig,3.21
Janis Blaswich,33,Goalkeeper,Germany,RB Leipzig,2.14
Timo Schlieck,18,Goalkeeper,Germany,RB Leipzig,0.54
Leopold Zingerle,30,Goalkeeper,Germany,RB Leipzig,0.43
Castello Lukeba,21,Centre-Back,France,RB Leipzig,42.8
Mohamed Simakan,24,Centre-Back,France,RB Leipzig,37.45
El Chadaille Bitshiabu,19,Centre-Back,France,RB Leipzig,12.84
Willi Orbán,31,Centre-Back,Hungary,RB Leipzig,10.7
Lukas Klostermann,28,Centre-Back,Germany,RB Leipzig,8.56
Tim Köhler,19,Centre-Back,Germany,RB Leipzig,0.0
David Raum,26,Left-Back,Germany,RB Leipzig,21.4
Christopher Lenz,29,Left-Back,Germany,RB Leipzig,1.6
Benjamin Henrichs,27,Right-Back,Germany,RB Leipzig,21.4
Xaver Schlager,26,Central Midfield,Austria,RB Leipzig,29.96
Amadou Haidara,26,Central Midfield,Mali,RB Leipzig,21.4
Nicolas Seiwald,23,Central Midfield,Austria,RB Leipzig,17.12
Kevin Kampl,33,Central Midfield,Slovenia,RB Leipzig,3.75
Xavi Simons,21,Attacking Midfield,Netherlands,RB Leipzig,85.6
Dani Olmo,26,Attacking Midfield,Spain,RB Leipzig,53.5
Eljif Elmas,24,Attacking Midfield,North Macedonia,RB Leipzig,21.4
Christoph Baumgartner,24,Attacking Midfield,Austria,RB Leipzig,19.26
Loïs Openda,24,Centre-Forward,Belgium,RB Leipzig,64.2
Benjamin Sesko,21,Centre-Forward,Slovenia,RB Leipzig,53.5
Yussuf Poulsen,30,Centre-Forward,Denmark,RB Leipzig,6.42
Gregor Kobel,26,Goalkeeper,Switzerland,Borrusia Dortmund,42.8
Marcel Lotka,23,Goalkeeper,Germany,Borrusia Dortmund,1.39
Alexander Meyer,33,Goalkeeper,Germany,Borrusia Dortmund,0.86
Nico Schlotterbeck,24,Centre-Back,Germany,Borrusia Dortmund,42.8
Niklas Süle,28,Centre-Back,Germany,Borrusia Dortmund,16.05
Mats Hummels,35,Centre-Back,Germany,Borrusia Dortmund,5.35
Antonios Papadopoulos,24,Centre-Back,Germany,Borrusia Dortmund,1.07
Ian Maatsen,22,Left-Back,Netherlands,Borrusia Dortmund,42.8
Ramy Bensebaini,29,Left-Back,Algeria,Borrusia Dortmund,7.49
Julian Ryerson,26,Right-Back,Norway,Borrusia Dortmund,21.4
Marius Wolf,29,Right-Back,Germany,Borrusia Dortmund,3.21
Mateu Morey,24,Right-Back,Spain,Borrusia Dortmund,0.86
Salih Özcan,26,Defensive Midfield,Türkiye,Borrusia Dortmund,10.7
Emre Can,30,Defensive Midfield,Germany,Borrusia Dortmund,10.7
Abdoulaye Kamara,19,Defensive Midfield,France,Borrusia Dortmund,1.6
Felix Nmecha,23,Central Midfield,Germany,Borrusia Dortmund,21.4
Marcel Sabitzer,30,Central Midfield,Austria,Borrusia Dortmund,21.4
Kjell Wätjen,18,Central Midfield,Germany,Borrusia Dortmund,2.14
Ole Pohlmann,23,Central Midfield,Germany,Borrusia Dortmund,1.6
Julian Brandt,28,Attacking Midfield,Germany,Borrusia Dortmund,42.8
Marco Reus,35,Attacking Midfield,Germany,Borrusia Dortmund,5.35
Jadon Sancho,24,Left Winger,England,Borrusia Dortmund,32.1
Karim Adeyemi,22,Left Winger,Germany,Borrusia Dortmund,29.96
Jamie Bynoe-Gittens,19,Left Winger,England,Borrusia Dortmund,29.96
Donyell Malen,25,Right Winger,Netherlands,Borrusia Dortmund,42.8
Julien Duranville,18,Right Winger,Belgium,Borrusia Dortmund,9.1
Youssoufa Moukoko,19,Centre-Forward,Germany,Borrusia Dortmund,23.54
Niclas Füllkrug,31,Centre-Forward,Germany,Borrusia Dortmund,16.05
Sébastien Haller,30,Centre-Forward,Cote d'Ivoire,Borrusia Dortmund,10.7
Alexander Nübel,27,Goalkeeper,Germany,VfB Stuttgart,12.84
Fabian Bredlow,29,Goalkeeper,Germany,VfB Stuttgart,1.07
Dennis Seimen,18,Goalkeeper,Germany,VfB Stuttgart,1.07
Florian Schock,23,Goalkeeper,Germany,VfB Stuttgart,0.21
Hiroki Ito,25,Centre-Back,Japan,VfB Stuttgart,32.1
Waldemar Anton,27,Centre-Back,Germany,VfB Stuttgart,21.4
Dan-Axel Zagadou,25,Centre-Back,France,VfB Stuttgart,10.7
Anthony Rouault,23,Centre-Back,France,VfB Stuttgart,7.49
Leonidas Stergiou,22,Centre-Back,Switzerland,VfB Stuttgart,5.35
Maximilian Mittelstädt,27,Left-Back,Germany,VfB Stuttgart,18.19
Josha Vagnoman,23,Right-Back,Germany,VfB Stuttgart,10.7
Pascal Stenzel,28,Right-Back,Germany,VfB Stuttgart,2.67
Angelo Stiller,23,Defensive Midfield,Germany,VfB Stuttgart,21.4
Atakan Karazor,27,Defensive Midfield,Germany,VfB Stuttgart,12.84
Mahmoud Dahoud,28,Central Midfield,Syria,VfB Stuttgart,6.42
Nikolas Nartey,24,Central Midfield,Denmark,VfB Stuttgart,0.64
Roberto Massimo,23,Right Midfield,Germany,VfB Stuttgart,0.86
Enzo Millot,21,Attacking Midfield,France,VfB Stuttgart,32.1
Woo-yeong Jeong,24,Attacking Midfield,South Korea,VfB Stuttgart,3.75
Lilian Egloff,21,Attacking Midfield,Germany,VfB Stuttgart,0.86
Genki Haraguchi,33,Attacking Midfield,Japan,VfB Stuttgart,0.54
Laurin Ulrich,19,Attacking Midfield,Germany,VfB Stuttgart,0.54
Chris Führich,26,Left Winger,Germany,VfB Stuttgart,29.96
Silas,25,Right Winger,DR Congo,VfB Stuttgart,10.7
Jamie Leweling,23,Right Winger,Germany,VfB Stuttgart,9.63
Luca Raimund,19,Right Winger,Germany,VfB Stuttgart,0.54
Serhou Guirassy,28,Centre-Forward,Guinea,VfB Stuttgart,42.8
Deniz Undav,27,Centre-Forward,Germany,VfB Stuttgart,26.75
Kevin Trapp,33,Goalkeeper,Germany,Eintracht Frankfurt,4.28
Kauã Santos,21,Goalkeeper,Brazil,Eintracht Frankfurt,1.6
Jens Grahl,35,Goalkeeper,Germany,Eintracht Frankfurt,0.21
Simon Simoni,19,Goalkeeper,Albania,Eintracht Frankfurt,0.21
Willian Pacho,22,Centre-Back,Ecuador,Eintracht Frankfurt,37.45
Robin Koch,27,Centre-Back,Germany,Eintracht Frankfurt,19.26
Tuta,24,Centre-Back,Brazil,Eintracht Frankfurt,12.84
Hrvoje Smolcic,23,Centre-Back,Croatia,Eintracht Frankfurt,3.21
Nnamdi Collins,20,Centre-Back,Germany,Eintracht Frankfurt,1.07
Makoto Hasebe,40,Centre-Back,Japan,Eintracht Frankfurt,0.54
Dario Gebuhr,21,Centre-Back,Germany,Eintracht Frankfurt,0.43
Davis Bautista,19,Centre-Back,Ecuador,Eintracht Frankfurt,0.27
Niels Nkounkou,23,Left-Back,France,Eintracht Frankfurt,8.03
Philipp Max,30,Left-Back,Germany,Eintracht Frankfurt,2.14
Aurélio Buta,27,Right-Back,Portugal,Eintracht Frankfurt,5.35
Elias Baum,18,Right-Back,Germany,Eintracht Frankfurt,1.07
Timothy Chandler,34,Right-Back,United States,Eintracht Frankfurt,0.54
Ellyes Skhiri,29,Defensive Midfield,Tunisia,Eintracht Frankfurt,11.77
Hugo Larsson,19,Central Midfield,Sweden,Eintracht Frankfurt,29.96
Junior Dina Ebimbe,23,Central Midfield,France,Eintracht Frankfurt,12.84
Donny van de Beek,27,Central Midfield,Netherlands,Eintracht Frankfurt,5.35
Sebastian Rode,33,Central Midfield,Germany,Eintracht Frankfurt,1.07
Sidney Raebiger,19,Central Midfield,Germany,Eintracht Frankfurt,0.32
Mehdi Loune,20,Central Midfield,Germany,Eintracht Frankfurt,0.32
Harpreet Ghotra,21,Central Midfield,Germany,Eintracht Frankfurt,0.11
Farès Chaïbi,21,Attacking Midfield,Algeria,Eintracht Frankfurt,19.26
Mario Götze,32,Attacking Midfield,Germany,Eintracht Frankfurt,5.88
Jean-Mattéo Bahoya,19,Left Winger,France,Eintracht Frankfurt,8.03
Ansgar Knauff,22,Right Winger,Germany,Eintracht Frankfurt,10.7
Omar Marmoush,25,Centre-Forward,Egypt,Eintracht Frankfurt,23.54
Hugo Ekitiké,22,Centre-Forward,France,Eintracht Frankfurt,21.4
Sasa Kalajdzic,26,Centre-Forward,Austria,Eintracht Frankfurt,5.35
Nacho Ferri,19,Centre-Forward,Spain,Eintracht Frankfurt,2.14
Koen Casteels,32,Goalkeeper,Belgium,WfL Wolfburg,6.42
Pavao Pervan,36,Goalkeeper,Austria,WfL Wolfburg,0.32
Niklas Klinger,28,Goalkeeper,Germany,WfL Wolfburg,0.11
Maxence Lacroix,24,Centre-Back,France,WfL Wolfburg,21.4
Moritz Jenz,25,Centre-Back,Germany,WfL Wolfburg,8.03
Sebastiaan Bornauw,25,Centre-Back,Belgium,WfL Wolfburg,7.49
Cédric Zesiger,26,Centre-Back,Switzerland,WfL Wolfburg,5.35
Rogério,26,Left-Back,Brazil,WfL Wolfburg,5.35
Joakim Maehle,27,Right-Back,Denmark,WfL Wolfburg,14.98
Ridle Baku,26,Right-Back,Germany,WfL Wolfburg,7.49
Kilian Fischer,23,Right-Back,Germany,WfL Wolfburg,1.6
Kofi Amoako,19,Defensive Midfield,Germany,WfL Wolfburg,0.43
Aster Vranckx,21,Central Midfield,Belgium,WfL Wolfburg,12.84
Mattias Svanberg,25,Central Midfield,Sweden,WfL Wolfburg,12.84
Maximilian Arnold,30,Central Midfield,Germany,WfL Wolfburg,7.49
Yannick Gerhardt,30,Central Midfield,Germany,WfL Wolfburg,4.28
Kevin Paredes,21,Left Midfield,United States,WfL Wolfburg,8.03
Lovro Majer,26,Attacking Midfield,Croatia,WfL Wolfburg,21.4
Jakub Kaminski,22,Left Winger,Poland,WfL Wolfburg,6.42
Ulysses Llanez,23,Left Winger,United States,WfL Wolfburg,0.21
Patrick Wimmer,23,Right Winger,Austria,WfL Wolfburg,16.05
Vaclav Cerny,26,Right Winger,Czech Republic,WfL Wolfburg,7.49
Jonas Wind,25,Centre-Forward,Denmark,WfL Wolfburg,21.4
Tiago Tomás,22,Centre-Forward,Portugal,WfL Wolfburg,6.42
Lukas Nmecha,25,Centre-Forward,Germany,WfL Wolfburg,5.35
Amin Sarr,23,Centre-Forward,Sweden,WfL Wolfburg,4.28
Kevin Behrens,33,Centre-Forward,Germany,WfL Wolfburg,2.14
Dzenan Pejcinovic,19,Centre-Forward,Germany,WfL Wolfburg,1.07
Noah Atubolu,22,Goalkeeper,Germany,SC Freilburg,10.7
Florian Müller,26,Goalkeeper,Germany,SC Freilburg,1.28
Benjamin Uphoff,30,Goalkeeper,Germany,SC Freilburg,0.32
Philipp Lienhart,27,Centre-Back,Austria,SC Freilburg,16.05
Matthias Ginter,30,Centre-Back,Germany,SC Freilburg,10.7
Attila Szalai,26,Centre-Back,Hungary,SC Freilburg,4.28
Kenneth Schmidt,22,Centre-Back,Germany,SC Freilburg,2.67
Manuel Gulde,33,Centre-Back,Germany,SC Freilburg,1.6
Max Rosenfelder,21,Centre-Back,Germany,SC Freilburg,0.54
Christian Günter,31,Left-Back,Germany,SC Freilburg,5.35
Jordy Makengo,22,Left-Back,France,SC Freilburg,3.75
Kiliann Sildillia,22,Right-Back,France,SC Freilburg,16.05
Lukas Kübler,31,Right-Back,Germany,SC Freilburg,2.14
Yannik Keitel,24,Defensive Midfield,Germany,SC Freilburg,5.35
Nicolas Höfler,34,Defensive Midfield,Germany,SC Freilburg,2.14
Merlin Röhl,21,Central Midfield,Germany,SC Freilburg,12.84
Maximilian Eggestein,27,Central Midfield,Germany,SC Freilburg,10.7
Daniel-Kofi Kyereh,28,Attacking Midfield,Ghana,SC Freilburg,3.75
Vincenzo Grifo,31,Left Winger,Italy,SC Freilburg,9.63
Noah Weißhaupt,22,Left Winger,Germany,SC Freilburg,5.35
Florent Muslija,25,Left Winger,Kosovo,SC Freilburg,2.67
Ritsu Doan,26,Right Winger,Japan,SC Freilburg,19.26
Roland Sallai,27,Right Winger,Hungary,SC Freilburg,16.05
Maximilian Philipp,30,Second Striker,Germany,SC Freilburg,2.14
Michael Gregoritsch,30,Centre-Forward,Austria,SC Freilburg,8.56
Lucas Höler,29,Centre-Forward,Germany,SC Freilburg,4.28
Junior Adamu,23,Centre-Forward,Austria,SC Freilburg,4.28
Maximilian Breunig,23,Centre-Forward,Germany,SC Freilburg,0.86
Jonas Omlin,30,Goalkeeper,Switzerland,Borrusia Monchengladbach,6.42
Moritz Nicolas,26,Goalkeeper,Germany,Borrusia Monchengladbach,2.67
Jan Olschowsky,22,Goalkeeper,Germany,Borrusia Monchengladbach,0.64
Tobias Sippel,36,Goalkeeper,Germany,Borrusia Monchengladbach,0.32
Maximilian Brüll,21,Goalkeeper,Germany,Borrusia Monchengladbach,0.08
Ko Itakura,27,Centre-Back,Japan,Borrusia Monchengladbach,12.84
Nico Elvedi,27,Centre-Back,Switzerland,Borrusia Monchengladbach,10.7
Maximilian Wöber,26,Centre-Back,Austria,Borrusia Monchengladbach,10.7
Marvin Friedrich,28,Centre-Back,Germany,Borrusia Monchengladbach,3.75
Fabio Chiarodia,19,Centre-Back,Italy,Borrusia Monchengladbach,2.14
Tony Jantschke,34,Centre-Back,Germany,Borrusia Monchengladbach,0.43
Mamadou Doucouré,26,Centre-Back,France,Borrusia Monchengladbach,0.11
Luca Netz,21,Left-Back,Germany,Borrusia Monchengladbach,10.7
Lukas Ullrich,20,Left-Back,Germany,Borrusia Monchengladbach,0.8
Joe Scally,21,Right-Back,United States,Borrusia Monchengladbach,10.7
Stefan Lainer,31,Right-Back,Austria,Borrusia Monchengladbach,2.67
Simon Walde,19,Right-Back,Germany,Borrusia Monchengladbach,0.54
Julian Weigl,28,Defensive Midfield,Germany,Borrusia Monchengladbach,6.42
Christoph Kramer,33,Defensive Midfield,Germany,Borrusia Monchengladbach,1.82
Manu Koné,23,Central Midfield,France,Borrusia Monchengladbach,21.4
Rocco Reitz,22,Central Midfield,Germany,Borrusia Monchengladbach,10.7
Florian Neuhaus,27,Central Midfield,Germany,Borrusia Monchengladbach,7.49
Robin Hack,25,Left Winger,Germany,Borrusia Monchengladbach,8.56
Franck Honorat,27,Right Winger,France,Borrusia Monchengladbach,12.84
Nathan Ngoumou,24,Right Winger,France,Borrusia Monchengladbach,5.35
Patrick Herrmann,33,Right Winger,Germany,Borrusia Monchengladbach,1.07
Tomas Cvancara,23,Centre-Forward,Czech Republic,Borrusia Monchengladbach,8.56
Alassane Plea,31,Centre-Forward,France,Borrusia Monchengladbach,7.49
Jordan,28,Centre-Forward,United States,Borrusia Monchengladbach,4.28
Grant-Leon Ranos,20,Centre-Forward,Armenia,Borrusia Monchengladbach,1.07
Shio Fukuda,20,Centre-Forward,Japan,Borrusia Monchengladbach,0.32
Oliver Baumann,34,Goalkeeper,Germany,TSG 1899 Hoffenheim,3.21
Nahuel Noll,21,Goalkeeper,Germany,TSG 1899 Hoffenheim,0.54
Luca Philipp,23,Goalkeeper,Germany,TSG 1899 Hoffenheim,0.32
Ozan Kabak,24,Centre-Back,Türkiye,TSG 1899 Hoffenheim,10.7
Kevin Akpoguma,29,Centre-Back,Nigeria,TSG 1899 Hoffenheim,3.21
Stanley Nsoki,25,Centre-Back,France,TSG 1899 Hoffenheim,2.67
Tim Drexler,19,Centre-Back,Germany,TSG 1899 Hoffenheim,2.67
John Brooks,31,Centre-Back,United States,TSG 1899 Hoffenheim,2.14
Kasim Adams,29,Centre-Back,Ghana,TSG 1899 Hoffenheim,0.75
David Jurásek,23,Left-Back,Czech Republic,TSG 1899 Hoffenheim,8.56
Marco John,22,Left-Back,Germany,TSG 1899 Hoffenheim,1.6
Pavel Kaderabek,32,Right-Back,Czech Republic,TSG 1899 Hoffenheim,3.21
Florian Grillitsch,28,Defensive Midfield,Austria,TSG 1899 Hoffenheim,6.96
Anton Stach,25,Central Midfield,Germany,TSG 1899 Hoffenheim,16.05
Grischa Prömel,29,Central Midfield,Germany,TSG 1899 Hoffenheim,7.49
Umut Tohumcu,19,Central Midfield,Germany,TSG 1899 Hoffenheim,7.49
Dennis Geiger,26,Central Midfield,Germany,TSG 1899 Hoffenheim,3.21
Finn Ole Becker,24,Central Midfield,Germany,TSG 1899 Hoffenheim,2.67
Robert Skov,28,Left Midfield,Denmark,TSG 1899 Hoffenheim,5.35
Tom Bischof,18,Attacking Midfield,Germany,TSG 1899 Hoffenheim,3.75
Bambasé Conté,20,Attacking Midfield,Germany,TSG 1899 Hoffenheim,0.75
Marius Bülter,31,Left Winger,Germany,TSG 1899 Hoffenheim,2.67
Maximilian Beier,21,Centre-Forward,Germany,TSG 1899 Hoffenheim,32.1
Mergim Berisha,26,Centre-Forward,Germany,TSG 1899 Hoffenheim,10.7
Wout Weghorst,31,Centre-Forward,Netherlands,TSG 1899 Hoffenheim,6.42
Andrej Kramaric,33,Centre-Forward,Croatia,TSG 1899 Hoffenheim,5.35
Ihlas Bebou,30,Centre-Forward,Togo,TSG 1899 Hoffenheim,4.28
Max Moerstedt,18,Centre-Forward,Germany,TSG 1899 Hoffenheim,1.07
Frederik Rönnow,31,Goalkeeper,Denmark,FC Union Berline,4.82
Alexander Schwolow,32,Goalkeeper,Germany,FC Union Berline,0.75
Jakob Busk,30,Goalkeeper,Denmark,FC Union Berline,0.27
Danilho Doekhi,25,Centre-Back,Netherlands,FC Union Berline,18.19
Diogo Leite,25,Centre-Back,Portugal,FC Union Berline,16.05
Robin Knoche,32,Centre-Back,Germany,FC Union Berline,2.67
Kevin Vogt,32,Centre-Back,Germany,FC Union Berline,2.14
Paul Jaeckel,25,Centre-Back,Germany,FC Union Berline,2.14
Jérôme Roussillon,31,Left-Back,Guadeloupe,FC Union Berline,2.67
Josip Juranovic,28,Right-Back,Croatia,FC Union Berline,8.03
Christopher Trimmel,37,Right-Back,Austria,FC Union Berline,0.64
Lucas Tousart,27,Defensive Midfield,France,FC Union Berline,7.49
Rani Khedira,30,Defensive Midfield,Germany,FC Union Berline,5.35
Alex Král,26,Defensive Midfield,Czech Republic,FC Union Berline,5.35
Aïssa Laïdouni,27,Central Midfield,Tunisia,FC Union Berline,6.42
András Schäfer,25,Central Midfield,Hungary,FC Union Berline,5.35
Janik Haberer,30,Central Midfield,Germany,FC Union Berline,3.21
Robin Gosens,29,Left Midfield,Germany,FC Union Berline,12.84
Brenden Aaronson,23,Attacking Midfield,United States,FC Union Berline,12.84
Yorbe Vertessen,23,Centre-Forward,Belgium,FC Union Berline,5.35
Kevin Volland,31,Centre-Forward,Germany,FC Union Berline,4.28
Benedict Hollerbach,23,Centre-Forward,Germany,FC Union Berline,4.28
